id;start_date;end_date;language
1;2023-06-12T10:53:25;2023-06-12T08:43:40;ENGLISH
2;2023-06-11T20:21:00;2023-06-12T05:46:29;FRENCH
3;2023-06-12T06:17:12;2023-06-11T18:22:20;SPANISH
4;2023-06-12T10:48:01;2023-06-11T16:14:20;FRENCH
5;2023-06-12T13:04:24;2023-06-11T21:23:22;ENGLISH
6;2023-06-11T22:35:07;2023-06-12T12:35:27;SPANISH
7;2023-06-12T06:38:55;2023-06-11T17:13:04;FRENCH
8;2023-06-11T21:04:48;2023-06-11T17:40:37;FRENCH
9;2023-06-11T21:56:26;2023-06-12T09:27:52;FRENCH
10;2023-06-11T17:53:24;2023-06-12T10:50:53;FRENCH
